date_participation,code_postal,empreinte_moyenne,logement_type,logement_superficie_m2,logement_nb_habitants,logement_type_chauffage,logement_isolation,logement_temperature_chauffage,transport_km_voiture,transport_km_voiture_electrique,transport_km_train,transport_km_bus,transport_km_metro,transport_km_tram,transport_km_velo,transport_km_velo_electrique,transport_km_trottinette,transport_km_moto,transport_nb_vols_avion,alimentation_repas_viande_semaine,alimentation_eau_bouteille,alimentation_petits_electromenager,alimentation_gros_electromenager,alimentation_freq_remplacement,vetements_neufs_an,divertissement_petits_electromenager,divertissement_gros_electromenager,divertissement_freq_remplacement,divertissement_appareils_numeriques,divertissement_heures_video_jour,divertissement_qualite_video,impact_logement,impact_transport,impact_alimentation,impact_vetements,impact_divertissement,impact_total
2025-02-25,1090,10.76,Studio,30,1,Pompe à chaleur,Mal isolé,18,4224,0,5451,1684,2273,8,515,0,179,0,1,8,Oui,5,6,5-10 ans,25,8,3,5-10 ans,2,5,4K,2.2,1.59,0.91,0.5,4.72,10.26
2025-02-04,1050,10.11,Colocation,90,2,Bois,Mal isolé,19,15026,0,5074,4978,778,440,1287,0,358,0,2,0,Oui,7,5,Moins de 5 ans,44,3,6,Plus de 15 ans,8,3,4K,1.55,4.52,0.56,0.88,3.0,10.95
2025-03-14,1170,10.52,Studio,28,1,Pompe à chaleur,Bien isolé,22,18259,11842,6216,3218,2773,710,268,0,308,6005,2,10,Non,5,4,5-10 ans,35,3,4,5-10 ans,5,4,SD,1.36,6.24,0.79,0.7,3.77,15.12
2025-06-06,1030,9.45,Colocation,114,1,Fioul,Très bien isolé,18,8578,0,1091,752,1533,815,1412,2822,175,0,3,3,Non,3,6,5-10 ans,18,3,4,Plus de 15 ans,2,4,HD,4.68,3.32,0.59,0.36,3.76,11.52
2025-05-21,1000,11.91,Studio,26,2,Fioul,Bien isolé,18,2539,5562,2172,4717,1085,600,1162,0,328,0,3,1,Non,3,5,Plus de 15 ans,20,6,2,10-15 ans,3,2,4K,1.56,2.73,0.46,0.4,1.98,6.02
2025-03-08,1050,11.93,Colocation,142,3,Fioul,Mal isolé,20,5833,0,7196,4105,1811,355,518,0,104,0,2,9,Non,4,3,10-15 ans,20,8,2,Moins de 5 ans,9,5,SD,1.88,2.62,0.69,0.4,4.72,9.32
2025-01-05,1000,11.27,Maison,189,2,Bois,Bien isolé,23,7687,7627,6658,4568,702,532,664,0,39,4121,0,4,Non,4,4,Plus de 15 ans,39,7,5,5-10 ans,6,3,4K,2.14,2.8,0.54,0.78,2.97,7.56
2025-06-02,1050,11.09,Colocation,61,2,Bois,Mal isolé,18,23769,13254,7085,4873,2566,846,496,0,467,0,0,12,Oui,8,3,Plus de 15 ans,43,7,2,Plus de 15 ans,7,0,HD,1.31,5.97,0.95,0.86,0.15,7.68
2025-02-28,1030,10.19,Studio,38,1,Gaz,Bien isolé,20,72,3129,666,3402,180,3,1863,0,26,0,5,2,Non,8,4,5-10 ans,12,3,2,Plus de 15 ans,3,4,4K,2.66,2.96,0.5,0.24,3.79,10.97
2025-05-15,1040,10.08,Appartement,99,3,Pompe à chaleur,Mal isolé,22,8561,1010,5302,552,1171,173,569,0,69,0,0,7,Oui,8,6,5-10 ans,20,7,6,Plus de 15 ans,3,5,4K,1.06,1.89,0.9,0.4,4.77,8.55
2025-03-30,1000,9.09,Studio,34,6,Pompe à chaleur,Mal isolé,19,24691,0,5753,4987,2063,349,1214,1392,160,0,2,10,Oui,5,6,Plus de 15 ans,6,5,4,Moins de 5 ans,2,5,4K,0.36,6.45,0.99,0.12,4.73,11.22
2024-12-30,1040,8.33,Appartement,80,1,Fioul,Bien isolé,22,1824,0,2793,3552,104,1791,273,0,392,0,1,10,Non,5,3,Plus de 15 ans,18,4,4,Plus de 15 ans,8,0,HD,3.8,1.24,0.74,0.36,0.18,5.88
2025-05-08,1070,9.88,Appartement,51,2,Électrique,Mal isolé,19,21734,5092,6868,2340,425,1078,47,0,66,0,1,4,Oui,6,5,5-10 ans,25,5,4,5-10 ans,7,2,HD,1.36,5.4,0.71,0.5,2.0,10.53
2025-02-24,1070,11.22,Studio,21,4,Pompe à chaleur,Moyennement isolé,20,15032,0,3980,2064,2294,1663,1534,0,180,0,2,5,Oui,3,4,10-15 ans,40,8,4,Plus de 15 ans,9,0,SD,0.41,4.27,0.67,0.8,0.18,6.73
2025-05-08,1160,9.05,Colocation,135,4,Électrique,Moyennement isolé,22,22467,0,3507,2684,663,428,1610,0,254,0,3,14,Oui,3,3,5-10 ans,47,6,4,10-15 ans,2,7,SD,0.97,6.29,0.98,0.94,6.48,12.9
2025-05-29,1040,9.42,Appartement,56,2,Pompe à chaleur,Moyennement isolé,21,10491,11382,4451,2791,283,1448,413,0,311,0,1,3,Non,3,5,Plus de 15 ans,9,4,3,Plus de 15 ans,4,0,HD,1.11,3.49,0.54,0.18,0.12,4.49
2025-06-15,1050,8.98,Maison,106,2,Pompe à chaleur,Très bien isolé,18,17275,0,4305,4063,773,919,294,0,333,0,1,9,Oui,7,4,Moins de 5 ans,23,2,6,Moins de 5 ans,9,1,HD,1.56,4.38,0.87,0.46,1.13,6.88
2024-12-29,1082,9.66,Appartement,104,4,Fioul,Moyennement isolé,18,17338,0,2046,3437,2673,1647,1771,0,340,0,0,9,Oui,2,4,Plus de 15 ans,40,6,2,5-10 ans,3,0,4K,1.22,3.83,0.82,0.8,0.15,6.11
2025-03-07,1120,11.29,Colocation,119,2,Pompe à chaleur,Moyennement isolé,21,12369,0,2855,2447,1355,1264,1813,1024,460,0,0,5,Non,3,5,Moins de 5 ans,11,2,3,Plus de 15 ans,5,5,HD,1.74,2.77,0.62,0.22,4.69,8.86
2025-02-03,1030,10.99,Maison,104,3,Électrique,Très bien isolé,19,11967,0,572,2550,2682,1065,644,0,402,187,0,4,Oui,5,4,Plus de 15 ans,5,5,5,10-15 ans,3,5,4K,1.06,2.68,0.65,0.1,4.75,11.09
2025-04-05,1080,11.1,Colocation,115,1,Pompe à chaleur,Moyennement isolé,22,8017,0,2088,1112,1856,1427,1799,0,296,0,0,9,Non,2,6,10-15 ans,35,3,4,5-10 ans,2,2,SD,3.3,1.77,0.82,0.7,1.91,9.31
2025-03-20,1170,11.99,Maison,138,2,Gaz,Bien isolé,20,17897,4333,4347,4582,2468,1830,173,0,455,0,2,4,Non,2,6,10-15 ans,44,6,2,10-15 ans,7,6,4K,2.33,5.29,0.62,0.88,5.68,17.76
2025-03-02,1080,9.21,Studio,24,2,Bois,Très bien isolé,18,8448,6068,1391,2483,639,1794,1799,0,269,0,1,5,Non,5,3,Moins de 5 ans,37,6,5,Plus de 15 ans,7,0,SD,0.64,2.75,0.54,0.74,0.17,5.6
2025-02-25,1090,8.05,Maison,134,2,Fioul,Très bien isolé,23,4200,0,5715,228,234,1633,1415,0,39,0,4,0,Non,3,5,Plus de 15 ans,7,7,3,Moins de 5 ans,8,1,SD,2.29,2.95,0.42,0.14,1.07,7.32
2025-02-16,1050,11.63,Maison,182,3,Gaz,Mal isolé,20,11470,0,6906,1453,1998,707,591,0,367,0,4,13,Oui,8,4,Plus de 15 ans,36,7,6,10-15 ans,3,5,4K,1.98,4.56,1.04,0.72,4.77,10.72
2025-03-12,1030,8.47,Appartement,84,2,Pompe à chaleur,Très bien isolé,23,10652,0,3406,3411,331,1760,862,0,298,0,5,9,Oui,5,4,Plus de 15 ans,21,5,2,10-15 ans,7,5,SD,1.09,4.99,0.85,0.42,4.69,12.98
2025-06-02,1180,11.01,Maison,155,2,Électrique,Bien isolé,19,8545,0,7627,611,2092,304,764,0,206,1053,0,2,Non,6,6,10-15 ans,40,8,5,Plus de 15 ans,10,4,4K,2.2,2.0,0.58,0.8,3.93,9.45
2025-02-11,1080,10.87,Colocation,85,1,Pompe à chaleur,Bien isolé,18,11387,10272,417,2128,2902,419,796,0,425,0,0,5,Oui,5,5,5-10 ans,20,2,2,5-10 ans,9,4,HD,2.9,3.03,0.74,0.4,3.82,11.26
2025-06-18,1090,10.95,Colocation,109,2,Gaz,Très bien isolé,22,16462,0,1996,3823,2794,1334,34,0,185,0,0,6,Oui,5,4,5-10 ans,17,2,5,5-10 ans,7,6,HD,1.84,3.67,0.73,0.34,5.66,10.79
2025-02-15,1020,8.83,Studio,32,3,Fioul,Bien isolé,22,17066,0,531,15,1220,1801,17,0,363,7005,2,7,Oui,2,4,5-10 ans,24,8,6,5-10 ans,9,4,4K,0.95,5.17,0.74,0.48,3.93,13.47
2025-03-29,1030,10.62,Maison,180,2,Pompe à chaleur,Très bien isolé,18,18244,0,6166,1239,52,1977,497,0,276,6906,1,13,Non,6,6,5-10 ans,47,2,6,10-15 ans,5,1,4K,2.3,5.06,1.02,0.94,1.13,8.79
2025-05-10,1170,9.97,Appartement,99,2,Bois,Très bien isolé,19,20891,0,3153,3221,936,803,1333,0,315,0,0,1,Oui,3,6,10-15 ans,42,6,4,10-15 ans,2,3,SD,1.34,4.52,0.61,0.84,2.83,12.07
2025-06-08,1083,10.01,Maison,165,3,Fioul,Très bien isolé,19,16074,0,2826,1621,2729,1520,220,0,79,0,2,2,Non,7,5,Plus de 15 ans,33,8,2,10-15 ans,2,3,SD,1.87,4.41,0.54,0.66,2.81,9.75
2025-01-29,1000,9.07,Colocation,68,1,Pompe à chaleur,Moyennement isolé,19,9307,0,5100,2392,2219,1236,147,0,81,0,2,8,Oui,6,4,Moins de 5 ans,50,2,4,Moins de 5 ans,6,7,HD,2.66,3.15,0.82,1.0,6.54,14.15
2025-05-29,1140,11.26,Colocation,70,2,Fioul,Mal isolé,21,11350,14782,1364,1096,2880,1938,1648,0,55,0,2,10,Non,7,3,5-10 ans,41,4,6,10-15 ans,6,3,4K,2.05,4.15,0.76,0.82,2.97,12.26
2025-03-31,1020,9.53,Colocation,112,4,Gaz,Bien isolé,22,17565,0,2811,2784,67,1591,1508,0,468,7330,2,1,Non,6,5,Plus de 15 ans,33,6,3,5-10 ans,5,5,4K,0.98,5.56,0.49,0.66,4.75,13.73
2025-06-17,1090,9.58,Studio,22,1,Pompe à chaleur,Très bien isolé,21,12545,12697,2680,1882,1678,70,1444,0,273,7668,1,0,Oui,2,4,5-10 ans,40,6,2,Moins de 5 ans,4,0,4K,1.14,4.63,0.46,0.8,0.16,7.54
2025-02-18,1090,9.04,Maison,136,1,Gaz,Bien isolé,23,14542,12686,2049,4122,916,1834,768,0,247,5247,0,10,Oui,4,6,10-15 ans,36,8,4,5-10 ans,8,7,HD,4.32,4.46,0.98,0.72,6.58,13.89
2025-02-25,1050,11.2,Maison,89,2,Bois,Très bien isolé,22,24336,0,2216,3487,2251,1338,1090,0,495,0,2,12,Non,6,6,Moins de 5 ans,8,8,3,10-15 ans,5,1,SD,1.09,6.24,0.98,0.16,1.03,11.29
2025-03-04,1190,9.28,Maison,120,2,Pompe à chaleur,Très bien isolé,23,1070,0,4224,423,1252,28,1739,1203,197,2584,2,7,Oui,2,3,Moins de 5 ans,42,7,2,Moins de 5 ans,9,3,4K,1.45,1.59,0.69,0.84,2.97,7.56
2025-03-12,1020,10.17,Maison,160,2,Pompe à chaleur,Moyennement isolé,19,13168,0,1900,4700,2605,1985,66,0,141,879,2,5,Non,5,3,5-10 ans,14,2,3,Moins de 5 ans,7,4,SD,2.25,4.16,0.54,0.28,3.78,12.92
2025-04-17,1180,9.67,Maison,125,3,Gaz,Très bien isolé,22,21502,12381,2894,4924,1229,1760,1531,1203,85,0,0,13,Oui,4,6,Moins de 5 ans,48,3,3,5-10 ans,10,8,4K,1.33,5.38,1.1,0.96,7.54,15.98
2025-02-21,1050,8.96,Colocation,64,6,Pompe à chaleur,Bien isolé,23,17156,0,2622,581,827,1599,1943,0,8,0,2,13,Non,6,4,Plus de 15 ans,23,4,3,Moins de 5 ans,10,1,4K,0.33,4.53,0.92,0.46,1.16,6.5
2024-12-26,1210,9.62,Maison,161,3,Pompe à chaleur,Très bien isolé,19,12610,0,1985,4176,683,1797,9,0,178,0,2,8,Non,2,4,5-10 ans,11,2,5,Plus de 15 ans,2,5,HD,1.37,3.91,0.68,0.22,4.68,12.3
2025-02-25,1120,11.49,Appartement,115,1,Bois,Bien isolé,18,7460,2557,4347,3636,1309,1646,896,0,183,0,3,2,Oui,7,3,5-10 ans,31,2,5,Plus de 15 ans,9,8,HD,3.3,3.5,0.54,0.62,7.5,13.06
2025-05-08,1050,11.8,Colocation,144,5,Pompe à chaleur,Moyennement isolé,20,24597,0,525,1551,1658,577,1180,0,244,0,2,1,Non,4,4,Plus de 15 ans,27,8,3,10-15 ans,9,4,HD,0.82,6.09,0.42,0.54,3.84,12.54
2025-02-08,1040,11.0,Maison,189,2,Pompe à chaleur,Très bien isolé,23,3686,0,2992,853,421,1677,229,0,221,0,0,3,Non,2,5,Plus de 15 ans,32,4,5,Plus de 15 ans,2,5,SD,2.14,0.88,0.53,0.64,4.66,9.42
2025-02-04,1000,9.44,Maison,144,3,Gaz,Bien isolé,20,14218,0,495,1453,1986,655,1042,0,26,0,2,11,Non,5,4,5-10 ans,18,8,6,5-10 ans,5,4,4K,1.59,3.98,0.83,0.36,3.88,12.66
2025-04-10,1200,11.74,Studio,34,1,Gaz,Moyennement isolé,20,23673,0,4345,1093,1648,393,1096,0,421,0,3,4,Oui,5,3,Plus de 15 ans,12,7,6,Plus de 15 ans,4,8,4K,2.78,6.44,0.6,0.24,7.52,16.71
2025-04-17,1083,8.0,Colocation,83,5,Électrique,Mal isolé,18,6852,0,2822,2286,1923,1147,1551,0,445,0,1,1,Oui,2,4,5-10 ans,41,4,2,5-10 ans,5,2,4K,0.69,2.15,0.5,0.82,2.0,6.79
2025-03-12,1020,9.72,Studio,27,3,Fioul,Très bien isolé,22,11813,6030,2279,527,2208,1255,336,0,459,0,4,3,Oui,4,3,Moins de 5 ans,19,4,5,5-10 ans,2,3,SD,0.85,4.8,0.55,0.38,2.83,9.43
2025-05-03,1000,9.75,Studio,39,1,Pompe à chaleur,Mal isolé,20,14517,13571,6497,4126,2392,1461,894,0,47,0,3,12,Non,2,6,5-10 ans,39,5,6,10-15 ans,8,4,4K,2.18,5.53,0.94,0.78,3.91,11.79
2025-06-08,1070,8.94,Maison,106,1,Électrique,Moyennement isolé,22,14397,9797,6483,2371,1618,956,1910,0,109,0,0,3,Oui,2,5,Plus de 15 ans,7,2,5,5-10 ans,8,2,4K,3.32,3.67,0.63,0.14,2.07,10.89
2025-04-28,1000,11.94,Colocation,99,3,Bois,Moyennement isolé,23,16371,1322,5174,739,1774,1652,490,0,333,0,3,10,Oui,3,3,Moins de 5 ans,50,7,2,Plus de 15 ans,8,3,HD,0.89,5.02,0.82,1.0,2.9,10.35
2025-05-15,1000,11.1,Studio,31,4,Fioul,Très bien isolé,20,24580,10414,2713,3716,2520,1871,1897,0,193,0,3,5,Oui,8,3,Moins de 5 ans,37,4,6,Plus de 15 ans,3,0,HD,0.71,7.31,0.67,0.74,0.15,10.46
2025-06-09,1000,9.88,Appartement,63,4,Gaz,Moyennement isolé,21,19370,1702,3622,2145,2508,1351,687,2597,319,6740,2,14,Oui,4,5,Moins de 5 ans,6,5,5,Plus de 15 ans,10,8,HD,0.82,5.91,1.09,0.12,7.53,14.34
2025-04-25,1160,11.96,Appartement,95,2,Électrique,Moyennement isolé,19,6929,0,4687,1597,1419,544,1520,0,427,624,3,10,Oui,7,6,5-10 ans,44,6,4,Moins de 5 ans,4,3,4K,1.7,3.19,1.01,0.88,2.93,10.33
2025-01-08,1050,8.29,Appartement,94,2,Gaz,Moyennement isolé,22,11135,3643,5382,1631,499,1023,1564,1864,294,0,1,11,Oui,3,4,10-15 ans,42,3,3,Moins de 5 ans,4,8,4K,1.89,3.15,0.91,0.84,7.47,16.55
2025-01-04,1020,8.22,Appartement,105,3,Fioul,Bien isolé,18,14433,0,4485,29,492,1991,1669,2487,220,0,4,13,Non,8,3,Plus de 15 ans,19,7,3,10-15 ans,3,3,4K,1.57,4.99,0.89,0.38,2.9,9.85
2024-12-26,1210,8.08,Maison,126,1,Électrique,Mal isolé,20,19672,0,1244,1963,2298,471,1035,0,151,7475,4,10,Oui,5,6,10-15 ans,21,3,6,10-15 ans,4,8,HD,4.12,6.89,0.99,0.42,7.46,21.76
2025-04-24,1030,9.87,Colocation,141,2,Gaz,Moyennement isolé,22,13482,0,6795,1048,2419,1328,95,0,415,7983,0,13,Non,7,6,Moins de 5 ans,26,6,2,10-15 ans,3,8,SD,2.36,3.73,1.03,0.52,7.38,17.49
2025-05-08,1030,9.95,Appartement,118,1,Fioul,Moyennement isolé,20,15418,0,1896,4653,439,1416,146,0,248,0,3,0,Oui,3,5,10-15 ans,30,6,6,10-15 ans,10,6,HD,4.96,5.02,0.52,0.6,5.71,17.98
2025-04-28,1083,10.5,Studio,28,3,Pompe à chaleur,Mal isolé,18,14499,6451,3100,475,1196,1743,1805,0,134,54,2,8,Oui,3,6,5-10 ans,37,7,3,10-15 ans,4,8,4K,0.72,4.34,0.89,0.74,7.48,16.68
2025-06-19,1080,10.59,Maison,154,2,Fioul,Très bien isolé,21,596,9956,6341,2691,1978,1995,903,0,353,0,1,4,Oui,3,3,Plus de 15 ans,17,5,5,Moins de 5 ans,9,5,SD,2.59,1.48,0.58,0.34,4.75,8.81
2025-06-03,1140,8.37,Studio,27,2,Fioul,Bien isolé,22,16880,10047,1803,93,856,1958,1278,0,183,0,1,11,Non,2,5,5-10 ans,16,6,6,Plus de 15 ans,5,4,4K,1.37,4.44,0.85,0.32,3.88,12.45
2025-04-16,1030,8.38,Colocation,98,2,Fioul,Moyennement isolé,23,16038,14244,5359,3682,1897,75,564,0,487,0,2,6,Non,6,3,10-15 ans,28,8,5,10-15 ans,9,7,SD,2.13,5.35,0.59,0.56,6.58,15.88
2025-06-12,1050,11.22,Maison,178,3,Gaz,Moyennement isolé,21,6736,0,3288,4435,2987,1188,197,0,265,0,0,12,Oui,7,6,10-15 ans,32,6,4,5-10 ans,2,7,4K,1.85,1.8,1.09,0.64,6.55,13.9
2024-12-27,1170,11.36,Colocation,144,2,Gaz,Mal isolé,22,19273,5247,4147,3789,741,474,840,287,60,4407,3,7,Non,5,3,5-10 ans,29,4,5,5-10 ans,10,1,4K,2.49,6.43,0.62,0.58,1.18,13.43
2025-01-21,1080,10.12,Maison,188,2,Bois,Moyennement isolé,23,5393,11039,4771,524,2558,1800,828,2170,149,5699,1,8,Non,4,4,Plus de 15 ans,50,3,2,10-15 ans,5,7,HD,2.23,2.85,0.7,1.0,6.51,11.71
2025-03-18,1180,11.97,Colocation,123,1,Gaz,Mal isolé,22,8370,11632,7552,782,1109,1535,625,242,382,0,0,7,Non,5,3,5-10 ans,20,8,2,Moins de 5 ans,8,4,SD,4.56,2.48,0.62,0.4,3.79,11.59
2025-02-16,1160,9.85,Colocation,127,3,Électrique,Moyennement isolé,23,10010,3377,6083,2190,1059,1205,1456,0,421,0,0,13,Non,2,6,5-10 ans,31,5,4,10-15 ans,9,5,4K,1.21,2.48,0.98,0.62,4.81,11.73
2025-01-28,1000,9.03,Maison,165,2,Gaz,Très bien isolé,23,10571,9616,6101,1170,1452,1326,1462,0,407,0,3,7,Oui,6,5,5-10 ans,50,5,2,Moins de 5 ans,9,4,SD,2.35,4.33,0.83,1.0,3.8,13.3
2025-05-11,1000,10.79,Colocation,67,1,Gaz,Bien isolé,18,13402,0,6936,4048,1904,721,302,0,0,0,6,14,Non,6,6,Moins de 5 ans,33,5,3,10-15 ans,2,6,HD,3.44,6.11,1.06,0.66,5.58,14.68
2025-05-11,1180,8.22,Appartement,77,2,Bois,Très bien isolé,21,23569,0,3257,1109,687,1737,1810,0,73,0,1,1,Non,7,4,Moins de 5 ans,25,6,4,Plus de 15 ans,6,7,SD,1.02,5.37,0.45,0.5,6.53,12.95
2025-04-09,1050,10.69,Colocation,125,1,Gaz,Bien isolé,21,20327,11365,7438,880,1311,1454,1629,0,16,0,0,14,Oui,3,5,Moins de 5 ans,49,6,5,5-10 ans,3,2,SD,4.3,4.82,1.08,0.98,1.94,14.66
2025-03-02,1050,9.46,Colocation,115,2,Fioul,Moyennement isolé,23,139,0,6028,1464,1137,321,1284,0,58,0,1,9,Non,3,5,5-10 ans,49,3,6,Plus de 15 ans,3,7,4K,2.3,0.74,0.78,0.98,6.58,12.14
2025-06-03,1160,8.63,Appartement,82,2,Électrique,Très bien isolé,19,12391,0,3633,4570,2676,1147,788,0,170,0,0,1,Non,2,3,Plus de 15 ans,5,7,4,10-15 ans,9,0,HD,1.37,2.93,0.35,0.1,0.2,5.88
2025-03-17,1140,9.34,Colocation,128,2,Fioul,Moyennement isolé,18,4151,0,2815,4806,2386,1714,1742,0,279,0,2,14,Non,6,6,5-10 ans,30,3,4,Plus de 15 ans,2,0,HD,2.68,2.3,1.06,0.6,0.11,7.15
2025-03-24,1060,8.79,Studio,22,2,Bois,Mal isolé,23,11902,9585,1644,3888,2133,512,1204,0,34,0,0,12,Oui,4,5,10-15 ans,38,7,2,Moins de 5 ans,9,6,4K,0.67,3.21,1.01,0.76,5.71,9.81
2025-04-13,1190,10.14,Appartement,90,2,Pompe à chaleur,Très bien isolé,20,4872,0,6590,3535,1373,508,309,0,65,0,3,14,Non,2,3,Moins de 5 ans,11,4,6,Moins de 5 ans,4,7,SD,1.3,2.87,0.87,0.22,6.52,12.32
2025-06-09,1180,10.21,Studio,27,2,Fioul,Très bien isolé,19,13167,0,3993,4927,1022,16,1490,74,165,0,3,9,Oui,4,3,Moins de 5 ans,22,2,3,5-10 ans,6,0,HD,1.42,4.61,0.79,0.44,0.14,8.86
2025-05-23,1000,11.32,Appartement,83,2,Électrique,Moyennement isolé,23,16980,0,5384,3539,2422,1208,77,0,492,1932,6,1,Non,7,6,10-15 ans,31,2,3,Moins de 5 ans,4,4,HD,1.38,7.02,0.55,0.62,3.77,15.8
2025-04-15,1160,11.37,Appartement,59,3,Fioul,Bien isolé,21,5200,13406,6625,2191,2547,1042,1686,0,429,0,4,11,Non,6,3,5-10 ans,29,2,6,5-10 ans,2,3,SD,1.16,4.04,0.79,0.58,2.84,7.83
2025-03-02,1040,8.52,Colocation,147,2,Gaz,Mal isolé,21,11613,0,7050,4196,2587,197,432,2353,319,0,0,3,Non,4,3,Plus de 15 ans,22,4,2,Plus de 15 ans,4,5,SD,2.57,2.81,0.45,0.44,4.65,12.2
2025-05-19,1180,11.54,Appartement,100,6,Fioul,Mal isolé,21,8345,3053,3385,808,891,1371,1774,0,417,0,3,7,Non,4,6,Moins de 5 ans,37,7,2,10-15 ans,10,3,4K,0.78,3.49,0.76,0.74,2.98,7.86
2025-06-11,1030,8.56,Maison,127,2,Fioul,Bien isolé,23,20940,0,4345,2890,2312,1117,1900,0,301,0,1,6,Non,5,4,5-10 ans,28,7,6,Plus de 15 ans,4,7,HD,2.32,5.03,0.63,0.56,6.56,16.23
2025-03-06,1040,9.18,Maison,90,4,Pompe à chaleur,Moyennement isolé,19,8333,3372,5021,4975,2882,1541,705,0,325,0,3,13,Oui,3,4,Moins de 5 ans,10,8,5,Plus de 15 ans,3,0,HD,0.78,3.86,0.99,0.2,0.15,5.08
2025-06-16,1081,11.84,Colocation,144,4,Fioul,Moyennement isolé,21,7314,0,5463,1749,1136,195,1802,0,144,0,2,0,Oui,3,4,Moins de 5 ans,38,5,5,Plus de 15 ans,2,6,HD,1.34,2.7,0.47,0.76,5.6,11.48
2025-04-16,1210,8.57,Colocation,142,3,Gaz,Très bien isolé,18,21688,0,2418,12,2258,471,1043,0,379,0,2,6,Oui,8,3,Plus de 15 ans,35,7,5,10-15 ans,5,3,4K,1.58,5.42,0.71,0.7,2.96,13.34
2025-03-29,1000,8.76,Maison,200,3,Électrique,Moyennement isolé,19,11799,0,4034,3906,1847,1576,371,0,129,0,2,0,Oui,2,5,5-10 ans,10,2,4,10-15 ans,8,0,SD,1.83,3.76,0.51,0.2,0.15,7.0
2025-04-23,1090,10.58,Colocation,128,2,Bois,Moyennement isolé,19,518,0,6519,2337,1892,678,1843,0,354,0,3,3,Non,7,5,Plus de 15 ans,35,2,5,5-10 ans,4,8,HD,1.83,1.93,0.58,0.7,7.44,11.19
2025-06-07,1000,9.34,Studio,29,2,Pompe à chaleur,Mal isolé,22,9496,0,3646,3704,2151,1360,1624,2332,264,0,0,6,Oui,8,4,10-15 ans,44,7,4,10-15 ans,4,1,SD,0.89,2.29,0.76,0.88,1.03,6.35
2025-02-28,1050,10.58,Maison,160,2,Gaz,Très bien isolé,22,9200,0,4049,3992,2338,865,281,0,100,0,3,6,Non,4,6,Plus de 15 ans,41,2,5,5-10 ans,4,0,SD,2.35,3.74,0.72,0.82,0.12,7.9
2025-06-15,1030,10.06,Appartement,72,1,Pompe à chaleur,Mal isolé,22,1890,0,2619,702,1318,1000,662,0,55,0,2,12,Oui,6,6,Plus de 15 ans,11,7,2,Moins de 5 ans,2,4,4K,2.64,1.49,1.08,0.22,3.79,10.84
2025-02-17,1020,11.77,Studio,25,3,Pompe à chaleur,Moyennement isolé,23,22684,0,3228,3469,1431,1441,1350,1218,417,0,3,5,Oui,5,3,Plus de 15 ans,14,7,4,Moins de 5 ans,4,3,HD,0.47,6.42,0.64,0.28,2.88,9.43
2025-03-29,1082,10.74,Colocation,119,2,Pompe à chaleur,Mal isolé,21,14558,14798,5916,1065,1589,1636,1705,0,272,0,1,3,Oui,2,5,Plus de 15 ans,43,2,4,Moins de 5 ans,9,7,SD,1.84,4.36,0.63,0.86,6.56,14.99
2025-05-05,1150,8.98,Appartement,92,1,Bois,Très bien isolé,21,8657,0,3219,3377,2474,1562,1018,0,139,0,3,14,Oui,5,3,5-10 ans,23,8,3,10-15 ans,8,6,4K,2.34,3.58,1.0,0.46,5.71,13.91
2025-06-08,1000,9.66,Maison,124,4,Pompe à chaleur,Moyennement isolé,23,4731,0,2669,4358,1824,1490,1507,0,250,0,2,7,Oui,7,3,Plus de 15 ans,16,6,3,10-15 ans,9,6,HD,0.85,2.37,0.74,0.32,5.67,11.72
2024-12-29,1000,8.25,Maison,167,2,Fioul,Bien isolé,23,13267,0,1937,879,2347,808,360,0,469,0,1,4,Non,3,3,10-15 ans,9,7,6,10-15 ans,8,6,SD,2.72,3.31,0.48,0.18,5.67,14.83
2025-03-12,1050,11.72,Colocation,78,3,Gaz,Très bien isolé,20,22243,4243,462,3648,2090,946,1782,0,491,0,3,0,Non,8,3,Moins de 5 ans,18,7,4,5-10 ans,9,3,4K,1.09,6.52,0.37,0.36,2.99,10.95
2025-02-17,1080,10.3,Maison,177,4,Fioul,Mal isolé,21,15099,0,501,2741,1476,610,1058,0,365,0,1,2,Non,6,3,10-15 ans,23,7,6,5-10 ans,9,0,SD,1.56,3.79,0.43,0.46,0.21,6.85
2025-04-26,1180,9.89,Appartement,67,6,Pompe à chaleur,Bien isolé,21,8579,0,1282,527,1022,889,1552,0,274,0,1,7,Oui,7,4,Moins de 5 ans,38,4,3,10-15 ans,3,5,HD,0.37,2.31,0.79,0.76,4.67,9.81
2025-01-01,1000,9.99,Studio,37,3,Électrique,Bien isolé,23,12078,0,1062,4479,1323,1139,1004,0,445,0,1,0,Oui,8,4,5-10 ans,43,3,3,10-15 ans,4,8,HD,0.55,3.35,0.52,0.86,7.42,12.83
2025-03-17,1160,10.11,Maison,124,4,Bois,Mal isolé,20,15873,0,3363,4311,2720,634,1741,0,136,0,2,5,Oui,5,4,5-10 ans,11,8,2,Moins de 5 ans,10,5,4K,0.92,4.6,0.69,0.22,4.81,12.06
2025-06-08,1040,10.92,Colocation,100,2,Fioul,Moyennement isolé,18,24483,0,4447,910,2664,24,655,0,55,7409,2,14,Non,5,6,10-15 ans,21,5,5,Moins de 5 ans,5,7,4K,2.4,6.79,1.05,0.42,6.6,19.41
